x;y;z
-0.2264985375022076;0.39738849325039755;-0.16353524734389133
-0.19841252786071373;0.04958773826937506;-0.24533520388592825
-0.19431021758311798;-0.009944384179233262;-0.059498096708552925
-0.19784118006772924;0.024667692101906;0.09923575980348598
-0.16448842283342155;-0.40230863273134526;0.17028705377231088
-0.13886089687194356;-0.7305885928801455;0.16820022963678974
-0.12055294530212225;-0.959138216551313;0.16534503598230674
-0.11545790971766418;-1.027818336486984;0.2034185477246344
-0.09679143811466007;-1.2677019560805713;0.2557443602204501
-0.08244039900450871;-1.4565173360941435;-0.8045847353281868
-0.07235603054011934;-1.5801370206824656;0.23190691534934885
-0.06778205297246365;-1.636741969146634;0.31613828443751446
-0.07969249571746852;-1.4804548695597248;0.3151871252310339
-0.11330866527119092;-1.0452816531694105;0.36062270911237626
-0.18239397258271722;-0.1570112526145169;0.19912580631596524
-0.20094956382078216;0.0688747096434063;-0.12568279728166976
-0.16093756589984473;-0.4372377635182019;0.08414007771421139
-0.14117668236686023;-0.6848161226725605;0.14429783567515533
-0.1461673895143867;-0.6401852709191012;0.1624956416055791
-0.17545323249139244;-0.2788983221393966;0.1420766874928454
-0.2255678840005334;0.3494595065971202;0.04362985969471571
-0.19543843787487664;-0.03529688513189407;0.16686141297304782
-0.18867385873895662;-0.11437433033913495;0.2497470071930738
-0.22012468076426295;0.2988329192373346;0.21851206044447788
-0.3101401535440894;1.4383466233187823;-0.2674982872577411
-0.3624138832722476;2.0850796745656317;-0.19634218220128907
-0.33621653928084966;1.76420950498621;-0.14877393082071996
-0.23505475767517145;0.5133763613996597;0.09374128164025437
-0.13612255408678425;-0.7338674788345847;0.16689789513408437
-0.10014464710335197;-1.1908567766883216;0.20140098317317393
-0.1516707329154385;-0.518921917458821;0.16643023012368724
-0.1584384217887993;-0.42753379549855164;0.1658200286160936
-0.12546705153042104;-0.8505723210186622;0.18687093753558418
-0.0831628007888396;-1.4049644113030646;-0.8309100099899659
-0.06321006590022313;-1.658232999309392;0.27176083816197943
-0.06170985114421136;-1.676637879754309;0.40306032119021135
-0.08217065028853575;-1.4096366079607525;0.37863981514821343
-0.1292261467674328;-0.8036196713275922;0.28648872308271744
-0.28127607550783756;1.1269013680044921;0.028962831631115522
-0.31699928173460906;1.5595988115850665;-2.55149597495527
