CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
0.9561113732892874;0.6964285714285714;0.25197984161267095;0.8035646568069778;0.5161557580778791;0.2179868969624777;0.4356573014221298;0.5796296296296297;0.6359663865546219;0.5391112743297833;0.8732624693376941;0.8621406304121926;0.9927152612606376
0.9532798489853704;0.6660714285714285;0.22462203023758098;0.7940841865756543;0.4784589892294946;0.18046456223942825;0.4765868886576483;0.5407407407407407;0.5912605042016806;0.43040763863385967;0.8720359771054783;0.8579840665050226;0.9925555429187415
0.9542236904200094;0.7151785714285714;0.20734341252699784;0.7925673113386424;0.47183098591549294;0.19714115544967242;0.4647936177592785;0.5814814814814815;0.5899159663865546;0.467866323907455;0.8663123466884709;0.8798060270176654;0.992677680474309
0.9542236904200094;0.7035714285714285;0.20158387329013677;0.7933257489571484;0.4755592377796189;0.22156045265038715;0.4481442941380507;0.5962962962962963;0.5996638655462185;0.5152405435181785;0.8626328699918233;0.9005888465535158;0.992858167145492
0.9513921661160925;0.6571428571428571;0.18070554355651547;0.7830868411073191;0.4291632145816073;0.19714115544967242;0.4873395768296913;0.5851851851851853;0.5680672268907563;0.48108703635695926;0.8634505314799672;0.8992033252511258;0.9928685513101354
0.9495044832468145;0.6236607142857142;0.17134629229661627;0.7762609025407661;0.39353769676884837;0.17212626563430616;0.533125216788068;0.5481481481481482;0.5354621848739496;0.42196107234667646;0.8634505314799672;0.8978178039487358;0.99284877194891
0.9495044832468145;0.6183035714285714;0.16630669546436286;0.7720894956389838;0.36868268434134216;0.15604526503871352;0.5764828303850156;0.5129629629629631;0.5152941176470588;0.34263679764965116;0.8638593622240393;0.8895046761343957;0.9927276233614035
0.9485606418121755;0.5964285714285714;0.16630669546436286;0.770951839211225;0.3612261806130903;0.15604526503871352;0.5733610822060353;0.5111111111111112;0.5152941176470588;0.34153507161219243;0.8614063777596075;0.9005888465535158;0.9927765772804368
0.9480887210948561;0.5776785714285714;0.16126709863210942;0.7671596511186956;0.3351284175642088;0.1459201905896367;0.6170655567117586;0.4814814814814815;0.4961344537815126;0.30113845023870733;0.8614063777596075;0.8995497055767233;0.9927498751427822
0.9466729589428976;0.5401785714285714;0.15766738660907126;0.7648843382631779;0.3152444076222038;0.0;0.6607700312174818;0.0;0.4823529411764706;0.2574366507528461;0.8597710547833196;0.9012816072047108;0.9926850977347687
0.0;0.540625;0.1540676745860331;0.7633674630261662;0.3011599005799503;0.13162596783799882;0.6999653139091224;0.43333333333333335;0.4695798319327731;0.23687109805361733;0.8589533932951757;0.9023207481815033;0.9926593845651754
0.9471448796602171;0.5651785714285714;0.1497480201583873;0.7626090254076603;0.29494614747307374;0.12864800476474092;0.7346514047866805;0.4222222222222223;0.4645378151260504;0.22842453176643407;0.8626328699918233;0.8874263941808106;0.9926104306461423
0.9471448796602171;0.5589285714285714;0.15550755939524838;0.764505119453925;0.311930405965203;0.13936867182846935;0.6722164412070759;0.4592592592592593;0.4776470588235294;0.2467866323907455;0.8605887162714636;0.8940076203671632;0.992604002353744
0.949032562529495;0.6;0.16486681065514758;0.770572620401972;0.3591549295774648;0.17748659916617035;0.5861949358307318;0.5222222222222223;0.5173109243697479;0.34153507161219243;0.8593622240392477;0.8992033252511258;0.9926356493317049
0.9532798489853704;0.684375;0.1900647948164147;0.7887751232461131;0.45567522783761394;0.22275163787969032;0.4634061741241762;0.5777777777777778;0.5771428571428572;0.47814910025706936;0.8618152085036794;0.8915829580879806;0.9926311989754291
0.9542236904200094;0.6924107142857143;0.20662347012239018;0.7944634053849072;0.48053024026512015;0.19594997022036928;0.4436351023239681;0.5574074074074075;0.599327731092437;0.45097319133308844;0.8605887162714636;0.9026671285071008;0.9927711379560997
