0;1;2
1.3361108;-21.78286;6.257902
-11.338813;-15.03868;-4.311916
-6.5987186;-11.366735;-19.632061
-2.9959135;3.36305;15.344976
-13.922208;14.441116;14.49324
10.182264;10.303393;13.735752
0.5534305;4.7906303;1.2364049
-11.55641;-0.99367183;-23.302717
9.174471;-8.9293165;4.189201
30.433226;2.6940775;2.1019258
-5.798448;-19.433912;-5.0648427
-5.939367;2.6236959;-6.4974937
-9.808951;2.1083121;-11.748329
10.544094;19.713549;13.602331
8.382341;4.365879;11.472668
-22.031769;-7.0087256;3.6361516
4.042162;19.612654;7.275366
-2.4429348;9.930036;-0.84658694
8.229653;-22.995064;11.545799
-1.7528629;7.0486436;-29.333584
-20.02007;-8.81142;-9.811701
7.657272;-5.275585;20.663399
-9.000288;-23.432144;-14.772992
10.437141;-17.187555;23.455452
10.220436;5.8407345;21.102789
23.25019;16.755411;-5.185467
21.324938;8.631868;12.863851
-22.436726;-11.001617;-12.32508
17.822205;-14.891197;3.0798109
8.660981;7.1791453;19.378038
-0.33650994;13.404929;-16.764933
14.96248;13.95491;-3.112379
6.5396876;8.851087;13.057007
15.464387;-15.30243;18.956743
-0.16911559;22.368195;-8.948427
23.866861;1.5844674;15.570022
-11.557734;8.042576;4.7727766
-10.236226;-7.1530395;-23.303032
22.604982;7.959787;13.577574
16.480145;11.897617;11.794189
1.4712859;4.081621;3.1829185
10.729061;-1.5903039;-15.727421
24.209234;-1.0084945;-11.432109
-4.798439;-0.5778038;15.838323
10.821798;-14.024267;-16.138927
26.83067;-3.688649;10.941181
-0.29656377;-15.890019;-5.464859
-26.749117;-4.876838;-8.569946
18.40832;2.6491463;1.8898562
7.818167;7.939056;21.641039
-0.04760394;24.67404;13.169713
-26.36854;-5.3917356;2.024525
15.7813635;-13.658618;17.186775
-8.844278;-4.259091;-0.88635147
12.8279505;-8.924876;-16.679344
10.535652;-17.446806;22.217749
15.900214;-10.440727;2.341644
-11.355229;-3.2081568;14.200164
-11.5617485;-29.793283;-3.3826888
-14.716595;-8.540793;10.793785
-5.132507;-9.131351;17.998075
-19.205353;18.130487;2.299242
0.008320933;18.225376;18.778498
8.685898;-6.901095;12.023594
9.52503;-9.363569;15.8915205
-7.345772;20.78745;2.7653573
-22.59114;-1.0289298;9.697446
0.5179345;6.8441405;-21.848513
-0.32019275;0.9755309;-23.159071
22.720514;18.789381;0.042175904
19.619709;2.1737604;14.909757
0.48740962;21.49237;14.648366
1.2032802;-4.8771005;25.703934
-2.671537;6.771231;-24.024353
17.335993;-0.34782073;9.32247
18.562273;16.393581;9.173269
24.618824;18.735142;-4.7645993
-0.19528341;-17.612871;17.313559
-1.5876867;-4.8962903;-29.947495
-7.343664;6.6727734;-27.424723
-23.655737;-8.093846;0.23363942
5.4724026;6.338415;-10.768042
20.860512;19.437792;-4.978217
-8.230956;-9.034958;12.233206
-19.52001;-8.716113;-6.1830606
8.964335;6.429476;-4.5085096
8.074313;-14.435781;6.5893283
-7.265223;-6.036258;-18.643723
-3.0752754;-23.534714;13.38638
13.15498;23.345129;9.102168
-17.27832;1.4553994;18.182987
-6.012011;12.152395;-10.807348
-13.352442;17.398296;-19.60548
9.247798;-7.0069556;21.185822
1.8620652;-7.8304415;-27.225574
12.063469;7.90481;-8.145557
0.41316062;18.936714;2.1400182
3.9954503;6.619592;12.805398
13.236711;-4.9826055;5.0136786
-19.626043;17.669535;1.725049
27.517466;-1.980019;11.34126
-1.8334875;9.510727;-9.542939
-4.9541283;6.2264915;3.0102909
-22.319584;-12.0782995;-16.684074
-12.338145;-25.496756;1.3885527
-18.19476;0.19459271;-19.602507
8.082135;-3.4829893;20.739456
20.71814;1.9751002;7.90149
17.82735;6.7149987;-7.6326494
-13.185223;28.643116;-0.82345164
-5.077786;-13.728426;8.3510475
-23.01332;2.6587276;4.0873523
-19.279064;2.1781907;19.17111
11.197095;-1.3023524;-14.340982
12.11561;13.256182;-9.772533
11.176901;21.749252;5.505471
16.848349;0.5280015;12.22754
15.160678;14.264229;-1.698389
-7.755295;17.815983;-6.05373
-8.053955;-5.2788315;-15.908347
-3.40228;24.748411;14.661784
-7.792509;29.039505;2.215062
7.059022;-23.86042;9.701651
-14.564544;-8.458167;13.425797
9.091818;8.911724;19.287748
26.298666;10.5925255;5.704116
13.226031;20.268251;-6.9988127
-3.1366646;9.620318;10.0268755
-15.499828;16.747784;12.517296
-21.999054;-2.372198;9.038817
1.142432;7.453964;-26.713371
18.686699;7.8489003;10.710162
-10.049526;7.416409;3.66562
-9.56061;3.4573033;1.2091886
-1.8043315;-4.5776615;-29.856104
-19.969288;7.7923613;15.286982
8.358202;4.5508814;15.017503
-2.7545311;-3.6825502;18.045952
18.366438;-15.817934;2.4001095
5.9435787;6.8534164;20.216015
23.179111;6.4223905;7.9706516
20.357475;2.5189123;-1.2460778
4.5365324;26.069685;12.615182
29.018276;0.5059687;0.00078637036
17.301687;2.3226519;17.332232
14.56538;12.893164;5.138662
-2.8093734;-5.6726723;-20.34802
3.1305165;11.985088;6.3792057
13.634807;-27.34978;-2.6902554
6.2275257;-21.750645;10.152815
-20.779524;11.260983;12.255595
4.760178;6.8771157;17.900324
20.875618;6.006692;8.671138
-8.387326;-5.5500164;7.493371
-23.04291;-10.385687;-15.043205
-1.8740686;12.927121;11.0963745
1.8684847;-0.45423794;-11.656408
-17.355377;-14.495211;-11.147442
-20.873472;0.28625628;24.373928
-17.39482;-0.04823706;5.4784255
3.308527;23.920197;17.35189
16.257734;12.734299;3.6138682
-11.265803;13.638406;-4.1094
-5.112836;-13.727413;8.325499
-0.43946338;-0.6372569;8.038577
8.623409;-1.9170142;-12.342548
26.768673;0.8943637;6.1218014
-23.626085;7.7298055;4.949531
-0.7989355;-9.955103;0.11720675
0.122377306;-5.796103;-27.76204
14.152139;7.4414835;-2.2984383
-3.5476022;10.330732;-16.828697
-5.985367;-1.4566545;-23.68681
0.27944705;8.619135;-29.750034
21.672998;5.9166994;10.006522
-19.471394;-1.696291;21.696547
11.479885;3.1912353;17.959465
14.057328;20.916948;7.4504004
-3.7802744;-4.989967;-30.733252
5.28336;-12.07636;4.2988195
16.444527;11.81382;11.756063
-21.8068;-10.288109;-10.838463
-8.210883;-12.063089;12.364633
-7.215016;0.102288276;24.899073
21.637178;6.853687;-8.058625
2.7045004;-17.819456;2.1419356
-3.5094373;7.045765;-21.844429
-9.984193;-24.163153;-4.3258157
8.012222;-13.146837;12.083185
